Store,Items,Amount,Category
Various Services,misc payment #2401,510.53,Others
Unknown Vendor,payment general,699.82,Others
Electric Company,service utility,968.26,Bills & Utilities
Kroger,bread food meat,118.34,Groceries
Trader Joes,groceries,146.48,Groceries
Unknown Vendor,general #1658,318.05,Others
Safeway,food,37.52,Groceries
Local Clinic,prescription medical #7208,229.32,Healthcare
BP,transportation,5.07,Transportation
Quest Diagnostics,medicine doctor health,176.63,Healthcare
Local Clinic,medicine health,269.12,Healthcare
Subway,dinner delivery takeout,661.95,Food & Dining
Electric Company,payment,521.18,Bills & Utilities
Water Service,bill service monthly,660.06,Bills & Utilities
Unknown Vendor,payment,170.42,Others
Shell,transportation taxi transit,78.3,Transportation
Pizza Hut,lunch dinner delivery,328.87,Food & Dining
Unknown Vendor,general,35.72,Others
Xbox,streaming entertainment movie #6431,11.26,Entertainment
Subway,takeout restaurant,576.53,Food & Dining
Electric Company,payment monthly bill,444.61,Bills & Utilities
Trader Joes,food,195.16,Groceries
Electric Company,payment utility,382.52,Bills & Utilities
Kroger,dairy meat groceries,108.69,Groceries
Spotify,entertainment movie,38.51,Entertainment
Unknown Vendor,misc general,560.28,Others
Local Restaurant,dinner lunch,627.39,Food & Dining
Trader Joes,meat,109.89,Groceries
AMC Theaters,game streaming music,13.01,Entertainment
Netflix,movie,22.52,Entertainment
Amazon,purchase,159.82,Shopping
Water Service,monthly payment,135.64,Bills & Utilities
Lyft,transportation,78.78,Transportation
Trader Joes,bread food meat #3194,83.48,Groceries
Pizza Hut,meal restaurant lunch,880.47,Food & Dining
Electric Company,service monthly bill,805.82,Bills & Utilities
Whole Foods,meat bread,66.14,Groceries
Local Restaurant,dinner lunch meal #3846,259.47,Food & Dining
Shell,fuel,37.84,Transportation
Local Clinic,medicine medical,417.34,Healthcare
Water Service,utility service monthly,609.0,Bills & Utilities
McDonalds,delivery meal,786.6,Food & Dining
Lyft,transportation #5620,73.96,Transportation
Target,purchase accessories shoes,219.71,Shopping
Xbox,movie music entertainment #3161,21.61,Entertainment
McDonalds,restaurant dinner delivery,58.93,Food & Dining
Chipotle,delivery dinner lunch,277.7,Food & Dining
Amazon,accessories,236.13,Shopping
Various Services,general,762.39,Others
CVS,medical doctor prescription #4507,349.59,Healthcare
Target,purchase electronics,260.3,Shopping
Miscellaneous,misc #1296,272.28,Others
Walgreens,prescription #1504,188.97,Healthcare
Local Clinic,doctor prescription medicine,315.08,Healthcare
Uber,ride taxi fuel #6522,43.36,Transportation
Amazon,accessories #5955,175.39,Shopping
Quest Diagnostics,doctor medical prescription,497.96,Healthcare
Nike,electronics shoes purchase #9341,69.77,Shopping
McDonalds,restaurant,120.06,Food & Dining
Target,electronics #8299,228.22,Shopping
Trader Joes,dairy,104.47,Groceries
Water Service,bill utility,471.0,Bills & Utilities
Various Services,other general,931.06,Others
Steam,game entertainment streaming #2391,41.23,Entertainment
Safeway,meat produce,115.85,Groceries
Best Buy,electronics purchase,159.29,Shopping
Unknown Vendor,general other,227.18,Others
Pizza Hut,restaurant lunch,37.1,Food & Dining
Whole Foods,dairy produce,172.81,Groceries
AT&T,monthly,50.7,Bills & Utilities
Uber,taxi gas fuel,75.21,Transportation
McDonalds,lunch,823.92,Food & Dining
Various Services,general,594.48,Others
Walgreens,health medicine,175.32,Healthcare
Amazon,electronics shoes,178.89,Shopping
Unknown Vendor,other,949.98,Others
Quest Diagnostics,doctor medical,295.74,Healthcare
Unknown Vendor,general,432.31,Others
Unknown Vendor,misc service,212.52,Others
Uber,transportation,20.79,Transportation
Spotify,music #6212,16.46,Entertainment
Various Services,general service #1233,698.33,Others
CVS,doctor medical medicine #9900,297.58,Healthcare
Steam,movie streaming entertainment,44.64,Entertainment
Xbox,movie #5900,40.27,Entertainment
Electric Company,monthly bill utility,738.79,Bills & Utilities
Lyft,transportation ride gas,12.93,Transportation
BP,gas,51.43,Transportation
Pizza Hut,restaurant meal,686.34,Food & Dining
Steam,streaming movie #5097,27.23,Entertainment
Quest Diagnostics,prescription medical doctor #1886,343.1,Healthcare
Electric Company,payment utility bill,283.59,Bills & Utilities
Various Services,service payment misc,818.16,Others
AMC Theaters,game entertainment movie,35.03,Entertainment
Pizza Hut,meal #9341,715.07,Food & Dining
Unknown Vendor,payment service,512.7,Others
Subway,dinner lunch meal #3976,113.66,Food & Dining
Subway,lunch,540.79,Food & Dining
Xbox,entertainment music,27.18,Entertainment
Various Services,service general,675.95,Others
Kroger,food,82.23,Groceries
Trader Joes,dairy produce,148.7,Groceries
Whole Foods,groceries produce,122.38,Groceries
Walgreens,medical medicine #3891,32.0,Healthcare
Miscellaneous,other,127.25,Others
Shell,fuel taxi,53.05,Transportation
Quest Diagnostics,medical,190.42,Healthcare
BP,fuel,62.19,Transportation
Best Buy,accessories shoes #5407,238.0,Shopping
AT&T,payment #7588,261.28,Bills & Utilities
Amazon,shoes #4521,173.59,Shopping
Walgreens,doctor,188.23,Healthcare
Uber,gas #3526,49.19,Transportation
Walgreens,health prescription #3996,172.06,Healthcare
Trader Joes,dairy produce bread #3427,145.98,Groceries
Kroger,meat produce #8611,28.91,Groceries
Uber,transportation gas #8207,28.01,Transportation
Pizza Hut,restaurant dinner delivery #5606,973.32,Food & Dining
Local Clinic,prescription #2512,222.77,Healthcare
AT&T,bill service,952.62,Bills & Utilities
Trader Joes,groceries meat produce,108.38,Groceries
Metro,transportation,19.91,Transportation
Pizza Hut,takeout lunch restaurant,251.88,Food & Dining
Verizon,utility payment service,537.03,Bills & Utilities
Unknown Vendor,payment,909.14,Others
Quest Diagnostics,medical medicine prescription #6357,38.8,Healthcare
Miscellaneous,service payment,418.53,Others
Whole Foods,meat bread,36.82,Groceries
Spotify,game entertainment streaming,41.23,Entertainment
Pizza Hut,takeout delivery,840.37,Food & Dining
Subway,takeout,886.59,Food & Dining
Miscellaneous,payment #2502,73.33,Others
Local Restaurant,restaurant lunch,610.95,Food & Dining
Unknown Vendor,general,254.06,Others
McDonalds,lunch delivery,523.78,Food & Dining
Unknown Vendor,service misc payment #7788,706.66,Others
Walgreens,doctor health medical #2952,58.3,Healthcare
McDonalds,lunch takeout,557.57,Food & Dining
AT&T,monthly,88.41,Bills & Utilities
Uber,ride,34.02,Transportation
Chipotle,dinner delivery,785.74,Food & Dining
Walmart,food produce dairy #9175,46.14,Groceries
Miscellaneous,payment misc service,274.36,Others
Electric Company,utility service monthly #7788,501.52,Bills & Utilities
Nike,clothes electronics,122.21,Shopping
Verizon,monthly bill utility,295.78,Bills & Utilities
Subway,takeout #6118,655.22,Food & Dining
Electric Company,payment #3771,56.82,Bills & Utilities
Miscellaneous,general misc,605.89,Others
Metro,transportation #1318,9.49,Transportation
Various Services,service general,425.23,Others
Verizon,monthly service bill,498.02,Bills & Utilities
Uber,ride #9265,10.11,Transportation
Verizon,utility bill #1226,875.24,Bills & Utilities
Uber,gas transportation transit,72.03,Transportation
Miscellaneous,misc,763.26,Others
Netflix,entertainment game #6488,21.66,Entertainment
Subway,dinner takeout,324.99,Food & Dining
Amazon,electronics,135.2,Shopping
BP,fuel #7190,49.17,Transportation
Local Restaurant,meal delivery lunch #3408,33.31,Food & Dining
Local Restaurant,meal restaurant,191.09,Food & Dining
McDonalds,dinner delivery,74.16,Food & Dining
Metro,ride fuel transit #8250,49.0,Transportation
Electric Company,payment bill service,559.58,Bills & Utilities
Walgreens,medical health medicine,360.87,Healthcare
Trader Joes,meat groceries,20.09,Groceries
Miscellaneous,payment,70.26,Others
BP,fuel taxi,23.71,Transportation
Amazon,shoes clothes purchase,96.24,Shopping
Walgreens,health medicine doctor,161.04,Healthcare
CVS,medicine prescription,465.02,Healthcare
Target,shoes accessories purchase,63.75,Shopping
BP,gas,69.37,Transportation
Pizza Hut,lunch takeout,842.93,Food & Dining
CVS,prescription medicine #5758,498.5,Healthcare
Pizza Hut,restaurant takeout dinner,800.64,Food & Dining
Water Service,utility monthly,916.87,Bills & Utilities
Steam,entertainment music #6593,17.3,Entertainment
Local Clinic,medical prescription medicine,67.42,Healthcare
Safeway,produce bread meat,40.95,Groceries
Water Service,service #9914,101.69,Bills & Utilities
Steam,music streaming #9950,40.1,Entertainment
Walmart,produce dairy food,29.24,Groceries
Local Clinic,prescription,328.67,Healthcare
Water Service,monthly payment service,788.16,Bills & Utilities
CVS,health,210.05,Healthcare
Water Service,payment service #9851,736.56,Bills & Utilities
Water Service,utility,361.98,Bills & Utilities
Best Buy,shoes electronics,220.58,Shopping
Quest Diagnostics,doctor prescription,418.07,Healthcare
Pizza Hut,dinner #5344,138.26,Food & Dining
Spotify,streaming,10.54,Entertainment
Subway,takeout delivery #2771,957.25,Food & Dining
Pizza Hut,takeout meal,415.89,Food & Dining
Quest Diagnostics,medical health,266.24,Healthcare
Best Buy,shoes accessories clothes,127.84,Shopping
Target,clothes shoes purchase,204.83,Shopping
H&M,shoes,198.25,Shopping
AMC Theaters,entertainment game movie,48.91,Entertainment
Subway,lunch meal takeout #1936,490.9,Food & Dining
CVS,doctor health #3701,296.8,Healthcare
Shell,transit,61.98,Transportation
Various Services,service general misc #3327,271.1,Others
Spotify,music entertainment #3799,45.75,Entertainment
AMC Theaters,streaming movie #7499,31.36,Entertainment
BP,ride gas,23.35,Transportation
Netflix,entertainment streaming,28.55,Entertainment
Steam,streaming game,32.78,Entertainment
Trader Joes,meat,23.68,Groceries
Nike,accessories shoes #3384,147.67,Shopping
Whole Foods,meat bread,146.67,Groceries
Walmart,produce,132.1,Groceries
Local Restaurant,meal #9292,717.4,Food & Dining
Chipotle,restaurant meal dinner,173.28,Food & Dining
H&M,accessories shoes,86.79,Shopping
Unknown Vendor,general misc payment #1213,631.87,Others
Subway,meal delivery #7056,459.53,Food & Dining
Metro,ride,25.36,Transportation
Best Buy,shoes,71.13,Shopping
AT&T,service utility bill #9990,283.84,Bills & Utilities
Verizon,payment,692.71,Bills & Utilities
Various Services,general payment #9900,630.61,Others
AMC Theaters,movie game entertainment,49.41,Entertainment
Water Service,utility payment,386.8,Bills & Utilities
AMC Theaters,movie game,35.4,Entertainment
Various Services,service,609.32,Others
Water Service,utility service monthly,415.43,Bills & Utilities
Miscellaneous,general payment misc #5266,189.55,Others
Metro,ride fuel transportation,11.02,Transportation
Spotify,streaming game music,47.6,Entertainment
Netflix,entertainment,24.99,Entertainment
Water Service,utility payment monthly,832.01,Bills & Utilities
AMC Theaters,music,33.22,Entertainment
BP,transit taxi,73.48,Transportation
Metro,gas,36.9,Transportation
Trader Joes,meat,109.48,Groceries
BP,ride,23.47,Transportation
McDonalds,dinner takeout,314.45,Food & Dining
AT&T,utility,172.78,Bills & Utilities
Local Clinic,health prescription #8119,286.52,Healthcare
Walgreens,health medical prescription,28.73,Healthcare
Local Clinic,prescription,392.69,Healthcare
McDonalds,restaurant delivery takeout #3807,392.09,Food & Dining
Local Restaurant,lunch dinner,513.02,Food & Dining
Walgreens,prescription medicine health #6605,173.28,Healthcare
Target,shoes clothes,96.37,Shopping
AT&T,utility monthly bill,977.97,Bills & Utilities
Shell,gas taxi fuel,75.97,Transportation
Trader Joes,produce bread #6895,44.85,Groceries
Spotify,music #3270,37.75,Entertainment
Electric Company,monthly utility #9551,589.71,Bills & Utilities
CVS,doctor medicine,442.77,Healthcare
Target,purchase electronics,171.24,Shopping
Local Restaurant,meal takeout,601.02,Food & Dining
Whole Foods,bread dairy,30.6,Groceries
BP,taxi,63.69,Transportation
Unknown Vendor,service other payment #8163,807.83,Others
Steam,game,40.21,Entertainment
Uber,transportation ride #7957,66.3,Transportation
Various Services,general,927.51,Others
Best Buy,electronics shoes,275.55,Shopping
AMC Theaters,movie,37.74,Entertainment
Unknown Vendor,service misc other,916.62,Others
Verizon,service,166.67,Bills & Utilities
Target,accessories shoes,50.54,Shopping
Trader Joes,produce,79.94,Groceries
Kroger,bread,161.27,Groceries
Best Buy,accessories purchase,51.36,Shopping
Target,purchase,181.81,Shopping
Target,shoes,266.53,Shopping
Netflix,game music,47.84,Entertainment
AT&T,utility,643.39,Bills & Utilities
AT&T,payment service monthly,666.36,Bills & Utilities
BP,fuel,60.39,Transportation
Shell,gas transportation,6.54,Transportation
Various Services,service other payment,659.84,Others
CVS,medicine medical,45.49,Healthcare
Nike,electronics shoes accessories,169.15,Shopping
Local Clinic,doctor medical prescription,485.52,Healthcare
Kroger,meat #3149,77.45,Groceries
Various Services,other service,181.18,Others
Electric Company,utility service payment,300.77,Bills & Utilities
Unknown Vendor,misc #2293,864.72,Others
Local Clinic,prescription medicine,191.9,Healthcare
Nike,electronics purchase accessories,48.07,Shopping
Amazon,shoes purchase,292.26,Shopping
Local Restaurant,takeout meal dinner #6466,754.75,Food & Dining
Chipotle,meal,712.47,Food & Dining
Safeway,produce groceries meat,183.26,Groceries
H&M,accessories shoes purchase,61.37,Shopping
Xbox,entertainment,19.65,Entertainment
Miscellaneous,misc payment,594.65,Others
Lyft,gas transit ride,24.48,Transportation
AT&T,payment bill service,276.77,Bills & Utilities
Netflix,game entertainment movie,40.91,Entertainment
Various Services,other,822.24,Others
Nike,accessories purchase #5500,266.02,Shopping
Kroger,groceries food bread,123.43,Groceries
AT&T,payment,75.08,Bills & Utilities
CVS,health,258.01,Healthcare
Unknown Vendor,payment other misc #6150,515.94,Others
Xbox,music game streaming #3593,22.29,Entertainment
Metro,transit taxi transportation,45.01,Transportation
Best Buy,accessories,284.17,Shopping
Best Buy,clothes shoes #9241,19.15,Shopping
Amazon,clothes shoes #9552,273.16,Shopping
Unknown Vendor,payment misc other #7937,85.58,Others
CVS,medicine #4449,109.96,Healthcare
Netflix,music streaming game #4879,40.31,Entertainment
Various Services,other general,935.48,Others
Nike,shoes electronics,95.49,Shopping
H&M,purchase shoes,115.99,Shopping
Electric Company,service,285.78,Bills & Utilities
Best Buy,shoes electronics purchase #8648,108.07,Shopping
Uber,taxi #8027,5.16,Transportation
Walgreens,prescription,253.85,Healthcare
Target,accessories clothes purchase,149.44,Shopping
Walmart,food groceries bread #2898,179.74,Groceries
Local Clinic,health medical prescription,35.79,Healthcare
Uber,transit gas ride,10.12,Transportation
Local Restaurant,dinner,340.49,Food & Dining
Xbox,music,37.58,Entertainment
Water Service,utility payment #6979,360.18,Bills & Utilities
Uber,transportation taxi transit #4104,6.9,Transportation
CVS,medicine health #2527,145.33,Healthcare
Steam,music entertainment #1329,41.02,Entertainment
Metro,ride,46.86,Transportation
Nike,electronics clothes shoes,104.03,Shopping
Miscellaneous,payment misc,965.0,Others
BP,ride transit gas,35.96,Transportation
H&M,clothes accessories #6449,152.61,Shopping
Electric Company,payment utility bill,60.48,Bills & Utilities
Xbox,movie streaming game,28.08,Entertainment
Electric Company,utility #8321,630.31,Bills & Utilities
Water Service,monthly payment service #6923,897.33,Bills & Utilities
Amazon,purchase electronics,214.1,Shopping
Electric Company,service bill monthly,21.86,Bills & Utilities
Electric Company,bill service,909.83,Bills & Utilities
Nike,accessories electronics,65.79,Shopping
Subway,dinner,598.8,Food & Dining
Metro,transportation transit ride,47.24,Transportation
Target,accessories,280.61,Shopping
Uber,transit fuel #5012,25.5,Transportation
Target,purchase,276.71,Shopping
Quest Diagnostics,doctor medicine health,283.66,Healthcare
McDonalds,delivery,959.16,Food & Dining
Various Services,general payment service,425.76,Others
Kroger,food,108.62,Groceries
Subway,dinner restaurant takeout,790.67,Food & Dining
BP,transit fuel #6587,78.02,Transportation
Various Services,general payment other,942.0,Others
Best Buy,electronics,40.39,Shopping
Xbox,streaming,25.92,Entertainment
Nike,purchase electronics clothes,285.12,Shopping
Trader Joes,groceries,82.77,Groceries
Pizza Hut,takeout delivery,555.28,Food & Dining
AT&T,service utility bill,141.15,Bills & Utilities
Pizza Hut,delivery #2212,275.95,Food & Dining
Electric Company,service monthly bill,930.37,Bills & Utilities
Spotify,entertainment streaming #2748,13.2,Entertainment
Subway,delivery takeout lunch,202.5,Food & Dining
Various Services,payment #5589,235.29,Others
Kroger,dairy groceries food,197.61,Groceries
Walgreens,doctor medical prescription,231.75,Healthcare
Subway,meal,36.69,Food & Dining
Local Clinic,prescription doctor #2923,460.89,Healthcare
Spotify,game music,41.11,Entertainment
Walmart,produce,165.97,Groceries
Pizza Hut,restaurant lunch #6483,693.63,Food & Dining
McDonalds,takeout restaurant dinner,85.98,Food & Dining
Lyft,transportation,9.84,Transportation
Subway,restaurant dinner delivery,871.02,Food & Dining
Walgreens,medical health doctor #5761,73.44,Healthcare
Trader Joes,bread produce,93.46,Groceries
Uber,gas,34.02,Transportation
BP,taxi fuel transit #5931,36.17,Transportation
Quest Diagnostics,medicine health,458.94,Healthcare
Unknown Vendor,payment general misc,781.96,Others
Best Buy,clothes shoes,190.11,Shopping
Best Buy,accessories,191.66,Shopping
Electric Company,monthly bill,518.22,Bills & Utilities
Various Services,general misc,370.93,Others
Water Service,payment service,282.13,Bills & Utilities
Trader Joes,dairy bread produce,60.53,Groceries
Verizon,utility payment monthly #6713,426.01,Bills & Utilities
CVS,medical doctor #1117,466.52,Healthcare
Water Service,bill service payment,676.88,Bills & Utilities
CVS,medical,463.25,Healthcare
Trader Joes,produce dairy #4774,162.5,Groceries
Safeway,bread,106.95,Groceries
AMC Theaters,entertainment streaming game,47.94,Entertainment
Best Buy,purchase clothes,127.27,Shopping
Amazon,shoes #4005,15.64,Shopping
Miscellaneous,general service misc #2691,477.58,Others
Trader Joes,food produce,143.35,Groceries
Various Services,general service,706.23,Others
Nike,accessories purchase,91.25,Shopping
CVS,doctor health #3623,372.93,Healthcare
Amazon,clothes,150.91,Shopping
CVS,medicine health,100.64,Healthcare
Verizon,monthly,70.4,Bills & Utilities
Verizon,utility,815.57,Bills & Utilities
Shell,taxi transit ride,26.44,Transportation
Steam,entertainment game streaming,39.65,Entertainment
Metro,fuel #4730,75.28,Transportation
Safeway,produce dairy groceries,170.51,Groceries
Metro,taxi transit ride,30.17,Transportation
Local Clinic,medical prescription health,166.89,Healthcare
Local Clinic,medical,251.91,Healthcare
Nike,accessories #7584,262.81,Shopping
Miscellaneous,misc,216.75,Others
Verizon,bill utility service,377.66,Bills & Utilities
Target,shoes electronics clothes #8876,282.81,Shopping
Shell,ride transportation taxi #7107,67.75,Transportation
Various Services,payment other,717.83,Others
Verizon,monthly service bill,126.42,Bills & Utilities
Metro,transit ride transportation,18.87,Transportation
Safeway,meat bread food #8853,100.95,Groceries
McDonalds,lunch dinner meal,162.42,Food & Dining
Local Restaurant,meal,60.54,Food & Dining
Amazon,purchase electronics accessories,16.49,Shopping
Various Services,general misc service,15.11,Others
Uber,ride #6643,48.99,Transportation
Walmart,groceries bread,174.92,Groceries
Water Service,payment service,716.71,Bills & Utilities
BP,transit transportation #8393,78.99,Transportation
Shell,fuel gas,46.93,Transportation
Pizza Hut,dinner,588.39,Food & Dining
CVS,medical health doctor,461.71,Healthcare
Local Clinic,doctor health,466.77,Healthcare
Uber,gas taxi ride #5821,39.48,Transportation
AMC Theaters,streaming entertainment game,46.86,Entertainment
Nike,electronics #1381,292.0,Shopping
Spotify,movie music streaming #8762,12.42,Entertainment
McDonalds,lunch takeout,191.09,Food & Dining
Local Restaurant,lunch restaurant delivery,445.78,Food & Dining
Walgreens,prescription #2082,345.84,Healthcare
Uber,gas ride taxi,12.06,Transportation
Unknown Vendor,general,129.79,Others
Steam,game movie #9782,45.9,Entertainment
Walgreens,prescription,309.89,Healthcare
CVS,medicine,270.31,Healthcare
Quest Diagnostics,doctor #6510,475.47,Healthcare
Lyft,gas,35.02,Transportation
Miscellaneous,other,866.33,Others
Shell,transportation gas transit,66.4,Transportation
Walmart,groceries,134.81,Groceries
Local Clinic,medical #4932,276.64,Healthcare
CVS,medical health medicine,155.86,Healthcare
Steam,music movie game,31.55,Entertainment
Various Services,misc service general #9136,158.85,Others
CVS,medical medicine health,358.98,Healthcare
Quest Diagnostics,doctor medicine #1906,67.47,Healthcare
Pizza Hut,dinner delivery,765.41,Food & Dining
Verizon,monthly bill service,984.32,Bills & Utilities
Quest Diagnostics,prescription,317.97,Healthcare
Whole Foods,groceries food produce,130.96,Groceries
AMC Theaters,streaming,31.55,Entertainment
Pizza Hut,takeout #1524,565.34,Food & Dining
Nike,accessories electronics shoes #4832,284.78,Shopping
Safeway,bread dairy meat #7675,79.04,Groceries
Miscellaneous,general service payment #1242,48.28,Others
Target,clothes,282.35,Shopping
Lyft,ride taxi #8951,55.39,Transportation
Local Clinic,health doctor prescription,39.05,Healthcare
Quest Diagnostics,health #9887,409.12,Healthcare
Miscellaneous,other,157.08,Others
Local Clinic,prescription doctor medicine,87.48,Healthcare
BP,transit,33.87,Transportation
AT&T,monthly service,752.32,Bills & Utilities
Various Services,other payment,422.64,Others
Uber,gas,71.15,Transportation
Chipotle,meal,116.24,Food & Dining
Steam,movie streaming entertainment,41.32,Entertainment
AT&T,utility #4870,518.66,Bills & Utilities
Safeway,dairy bread #5545,188.26,Groceries
