text,label
entertainment #2031 $19.01,ITEM
Thank you for your purchase!,O
Receipt #: 52398,O
Pizza Hut,STORE
Date: 2025-04-06,DATE
Total: $448.98,TOTAL
dinner meal $448.98,ITEM
Thank you for your purchase!,O
Receipt #: 92008,O
Electric Company,STORE
Date: 2025-04-09,DATE
Total: $153.63,TOTAL
service $153.63,ITEM
Thank you for your purchase!,O
Receipt #: 18717,O
AT&T,STORE
Date: 2025-04-15,DATE
Total: $539.56,TOTAL
monthly payment service $539.56,ITEM
Thank you for your purchase!,O
Receipt #: 56586,O
McDonalds,STORE
Date: 2025-03-31,DATE
Total: $209.76,TOTAL
restaurant lunch $209.76,ITEM
Thank you for your purchase!,O
Receipt #: 10216,O
McDonalds,STORE
Date: 2025-04-15,DATE
Total: $452.10,TOTAL
lunch $452.10,ITEM
Thank you for your purchase!,O
Receipt #: 56626,O
Walgreens,STORE
Date: 2025-04-06,DATE
Total: $382.83,TOTAL
health $382.83,ITEM
Thank you for your purchase!,O
Receipt #: 14475,O
Unknown Vendor,STORE
Date: 2025-04-09,DATE
Total: $937.42,TOTAL
misc general service $937.42,ITEM
Thank you for your purchase!,O
Receipt #: 39421,O
CVS,STORE
Date: 2025-04-11,DATE
Total: $228.21,TOTAL
doctor medical $228.21,ITEM
Thank you for your purchase!,O
Receipt #: 60200,O
Chipotle,STORE
Date: 2025-04-12,DATE
Total: $306.75,TOTAL
meal restaurant lunch #7008 $306.75,ITEM
Thank you for your purchase!,O
Receipt #: 77454,O
Subway,STORE
Date: 2025-04-20,DATE
Total: $420.53,TOTAL
dinner takeout restaurant $420.53,ITEM
Thank you for your purchase!,O
Receipt #: 40344,O
Netflix,STORE
Date: 2025-04-05,DATE
Total: $29.09,TOTAL
movie #8120 $29.09,ITEM
Thank you for your purchase!,O
Receipt #: 58003,O
Walgreens,STORE
Date: 2025-04-07,DATE
Total: $499.18,TOTAL
medicine #1210 $499.18,ITEM
Thank you for your purchase!,O
Receipt #: 14283,O
Lyft,STORE
Date: 2025-03-31,DATE
Total: $38.31,TOTAL
ride fuel taxi $38.31,ITEM
Thank you for your purchase!,O
Receipt #: 87820,O
Kroger,STORE
Date: 2025-04-08,DATE
Total: $68.11,TOTAL
bread #1670 $68.11,ITEM
Thank you for your purchase!,O
Receipt #: 78289,O
Unknown Vendor,STORE
Date: 2025-04-16,DATE
Total: $471.29,TOTAL
general $471.29,ITEM
Thank you for your purchase!,O
Receipt #: 97503,O
Best Buy,STORE
Date: 2025-04-14,DATE
Total: $125.95,TOTAL
purchase #9349 $125.95,ITEM
Thank you for your purchase!,O
Receipt #: 61326,O
Quest Diagnostics,STORE
Date: 2025-04-10,DATE
Total: $139.53,TOTAL
medical #7690 $139.53,ITEM
Thank you for your purchase!,O
Receipt #: 62648,O
Various Services,STORE
Date: 2025-04-14,DATE
Total: $18.68,TOTAL
other general $18.68,ITEM
Thank you for your purchase!,O
Receipt #: 81129,O
Nike,STORE
Date: 2025-03-29,DATE
Total: $88.32,TOTAL
clothes $88.32,ITEM
Thank you for your purchase!,O
Receipt #: 60344,O
Xbox,STORE
Date: 2025-03-25,DATE
Total: $40.87,TOTAL
game $40.87,ITEM
Thank you for your purchase!,O
Receipt #: 23874,O
CVS,STORE
Date: 2025-03-23,DATE
Total: $385.84,TOTAL
prescription doctor health $385.84,ITEM
Thank you for your purchase!,O
Receipt #: 26595,O
Netflix,STORE
Date: 2025-03-28,DATE
Total: $25.16,TOTAL
game movie $25.16,ITEM
Thank you for your purchase!,O
Receipt #: 64110,O
Metro,STORE
Date: 2025-03-31,DATE
Total: $8.86,TOTAL
taxi $8.86,ITEM
Thank you for your purchase!,O
Receipt #: 59322,O
Quest Diagnostics,STORE
Date: 2025-04-06,DATE
Total: $434.78,TOTAL
health medical doctor $434.78,ITEM
Thank you for your purchase!,O
Receipt #: 34597,O
Verizon,STORE
Date: 2025-04-17,DATE
Total: $468.96,TOTAL
payment bill utility #2434 $468.96,ITEM
Thank you for your purchase!,O
Receipt #: 35579,O
Unknown Vendor,STORE
Date: 2025-04-12,DATE
Total: $394.77,TOTAL
payment #7158 $394.77,ITEM
Thank you for your purchase!,O
Receipt #: 12003,O
McDonalds,STORE
Date: 2025-04-03,DATE
Total: $284.68,TOTAL
dinner restaurant delivery $284.68,ITEM
Thank you for your purchase!,O
Receipt #: 11119,O
Verizon,STORE
Date: 2025-04-11,DATE
Total: $853.30,TOTAL
monthly $853.30,ITEM
Thank you for your purchase!,O
Receipt #: 72425,O
Quest Diagnostics,STORE
Date: 2025-04-05,DATE
Total: $489.19,TOTAL
doctor prescription medical $489.19,ITEM
Thank you for your purchase!,O
Receipt #: 73976,O
Various Services,STORE
Date: 2025-04-14,DATE
Total: $479.61,TOTAL
payment other #4167 $479.61,ITEM
Thank you for your purchase!,O
Receipt #: 48096,O
Best Buy,STORE
Date: 2025-04-05,DATE
Total: $139.02,TOTAL
electronics purchase $139.02,ITEM
Thank you for your purchase!,O
Receipt #: 60811,O
Trader Joes,STORE
Date: 2025-03-25,DATE
Total: $119.19,TOTAL
produce food meat #6882 $119.19,ITEM
Thank you for your purchase!,O
Receipt #: 31467,O
Local Restaurant,STORE
Date: 2025-03-31,DATE
Total: $905.47,TOTAL
lunch $905.47,ITEM
Thank you for your purchase!,O
Receipt #: 15913,O
Subway,STORE
Date: 2025-04-19,DATE
Total: $664.75,TOTAL
lunch $664.75,ITEM
Thank you for your purchase!,O
Receipt #: 52189,O
Various Services,STORE
Date: 2025-04-02,DATE
Total: $920.18,TOTAL
other $920.18,ITEM
Thank you for your purchase!,O
Receipt #: 34736,O
Safeway,STORE
Date: 2025-04-02,DATE
Total: $172.15,TOTAL
dairy #7754 $172.15,ITEM
Thank you for your purchase!,O
Receipt #: 25920,O
Walgreens,STORE
Date: 2025-03-29,DATE
Total: $469.75,TOTAL
doctor medical $469.75,ITEM
Thank you for your purchase!,O
Receipt #: 34408,O
Unknown Vendor,STORE
Date: 2025-03-27,DATE
Total: $447.27,TOTAL
payment $447.27,ITEM
Thank you for your purchase!,O
Receipt #: 73043,O
Various Services,STORE
Date: 2025-03-25,DATE
Total: $540.61,TOTAL
service payment misc $540.61,ITEM
Thank you for your purchase!,O
Receipt #: 23066,O
Local Restaurant,STORE
Date: 2025-03-24,DATE
Total: $160.11,TOTAL
delivery dinner $160.11,ITEM
Thank you for your purchase!,O
Receipt #: 42394,O
Target,STORE
Date: 2025-04-16,DATE
Total: $43.71,TOTAL
electronics accessories $43.71,ITEM
Thank you for your purchase!,O
Receipt #: 56051,O
Netflix,STORE
Date: 2025-04-13,DATE
Total: $12.17,TOTAL
entertainment $12.17,ITEM
Thank you for your purchase!,O
Receipt #: 38623,O
McDonalds,STORE
Date: 2025-03-30,DATE
Total: $71.43,TOTAL
delivery meal restaurant $71.43,ITEM
Thank you for your purchase!,O
Receipt #: 69745,O
Shell,STORE
Date: 2025-04-15,DATE
Total: $68.29,TOTAL
gas transportation #7109 $68.29,ITEM
Thank you for your purchase!,O
Receipt #: 71917,O
Electric Company,STORE
Date: 2025-03-23,DATE
Total: $536.76,TOTAL
monthly utility service $536.76,ITEM
Thank you for your purchase!,O
Receipt #: 79016,O
Subway,STORE
Date: 2025-03-24,DATE
Total: $269.42,TOTAL
dinner $269.42,ITEM
Thank you for your purchase!,O
Receipt #: 62912,O
Safeway,STORE
Date: 2025-04-16,DATE
Total: $103.47,TOTAL
groceries bread food $103.47,ITEM
Thank you for your purchase!,O
Receipt #: 79098,O
Nike,STORE
Date: 2025-04-05,DATE
Total: $267.79,TOTAL
shoes electronics $267.79,ITEM
Thank you for your purchase!,O
Receipt #: 67912,O
Kroger,STORE
Date: 2025-04-18,DATE
Total: $112.17,TOTAL
food $112.17,ITEM
Thank you for your purchase!,O
Receipt #: 76213,O
Kroger,STORE
Date: 2025-04-20,DATE
Total: $152.48,TOTAL
groceries $152.48,ITEM
Thank you for your purchase!,O
Receipt #: 13086,O
McDonalds,STORE
Date: 2025-04-01,DATE
Total: $102.69,TOTAL
meal dinner restaurant #7443 $102.69,ITEM
Thank you for your purchase!,O
Receipt #: 92428,O
Trader Joes,STORE
Date: 2025-04-17,DATE
Total: $25.28,TOTAL
bread #1327 $25.28,ITEM
Thank you for your purchase!,O
Receipt #: 51162,O
Quest Diagnostics,STORE
Date: 2025-04-01,DATE
Total: $254.56,TOTAL
health medical $254.56,ITEM
Thank you for your purchase!,O
Receipt #: 71125,O
Nike,STORE
Date: 2025-04-08,DATE
Total: $149.73,TOTAL
accessories clothes $149.73,ITEM
Thank you for your purchase!,O
Receipt #: 60840,O
Unknown Vendor,STORE
Date: 2025-04-05,DATE
Total: $89.26,TOTAL
service misc $89.26,ITEM
Thank you for your purchase!,O
Receipt #: 15413,O
Trader Joes,STORE
Date: 2025-04-14,DATE
Total: $61.20,TOTAL
groceries $61.20,ITEM
Thank you for your purchase!,O
Receipt #: 70058,O
Pizza Hut,STORE
Date: 2025-04-16,DATE
Total: $296.71,TOTAL
delivery lunch $296.71,ITEM
Thank you for your purchase!,O
Receipt #: 86890,O
Uber,STORE
Date: 2025-04-18,DATE
Total: $5.76,TOTAL
transportation $5.76,ITEM
Thank you for your purchase!,O
Receipt #: 26394,O
Local Clinic,STORE
Date: 2025-04-04,DATE
Total: $32.08,TOTAL
medicine #6569 $32.08,ITEM
Thank you for your purchase!,O
Receipt #: 39323,O
Safeway,STORE
Date: 2025-03-31,DATE
Total: $122.34,TOTAL
meat produce groceries $122.34,ITEM
Thank you for your purchase!,O
Receipt #: 56813,O
Walgreens,STORE
Date: 2025-03-24,DATE
Total: $490.19,TOTAL
medicine health medical $490.19,ITEM
Thank you for your purchase!,O
Receipt #: 66341,O
Best Buy,STORE
Date: 2025-03-28,DATE
Total: $108.81,TOTAL
shoes $108.81,ITEM
Thank you for your purchase!,O
Receipt #: 93195,O
Local Clinic,STORE
Date: 2025-04-03,DATE
Total: $464.85,TOTAL
medical #1489 $464.85,ITEM
Thank you for your purchase!,O
Receipt #: 11794,O
Whole Foods,STORE
Date: 2025-04-15,DATE
Total: $32.10,TOTAL
produce dairy bread #8180 $32.10,ITEM
Thank you for your purchase!,O
Receipt #: 78462,O
Metro,STORE
Date: 2025-04-17,DATE
Total: $10.54,TOTAL
fuel transit $10.54,ITEM
Thank you for your purchase!,O
Receipt #: 29393,O
Steam,STORE
Date: 2025-03-23,DATE
Total: $22.67,TOTAL
streaming game movie $22.67,ITEM
Thank you for your purchase!,O
Receipt #: 65355,O
H&M,STORE
Date: 2025-04-20,DATE
Total: $72.63,TOTAL
purchase accessories electronics $72.63,ITEM
Thank you for your purchase!,O
Receipt #: 26045,O
Electric Company,STORE
Date: 2025-03-27,DATE
Total: $664.06,TOTAL
monthly payment utility #1183 $664.06,ITEM
Thank you for your purchase!,O
Receipt #: 38361,O
Electric Company,STORE
Date: 2025-04-10,DATE
Total: $863.43,TOTAL
payment bill #7435 $863.43,ITEM
Thank you for your purchase!,O
Receipt #: 37633,O
Trader Joes,STORE
Date: 2025-04-19,DATE
Total: $92.68,TOTAL
produce food groceries $92.68,ITEM
Thank you for your purchase!,O
Receipt #: 28641,O
Subway,STORE
Date: 2025-04-16,DATE
Total: $100.03,TOTAL
lunch restaurant takeout $100.03,ITEM
Thank you for your purchase!,O
Receipt #: 90062,O
Verizon,STORE
Date: 2025-04-17,DATE
Total: $962.46,TOTAL
utility bill #6852 $962.46,ITEM
Thank you for your purchase!,O
Receipt #: 15663,O
Various Services,STORE
Date: 2025-04-05,DATE
Total: $273.41,TOTAL
service other $273.41,ITEM
Thank you for your purchase!,O
Receipt #: 19926,O
Uber,STORE
Date: 2025-03-30,DATE
Total: $52.16,TOTAL
taxi transportation ride #6149 $52.16,ITEM
Thank you for your purchase!,O
Receipt #: 62692,O
Local Restaurant,STORE
Date: 2025-04-11,DATE
Total: $756.39,TOTAL
dinner #9770 $756.39,ITEM
Thank you for your purchase!,O
Receipt #: 65383,O
AMC Theaters,STORE
Date: 2025-04-21,DATE
Total: $42.69,TOTAL
entertainment music $42.69,ITEM
Thank you for your purchase!,O
Receipt #: 69458,O
Lyft,STORE
Date: 2025-03-28,DATE
Total: $30.83,TOTAL
gas ride $30.83,ITEM
Thank you for your purchase!,O
Receipt #: 22053,O
Various Services,STORE
Date: 2025-04-02,DATE
Total: $68.89,TOTAL
service other #9021 $68.89,ITEM
Thank you for your purchase!,O
Receipt #: 41902,O
Quest Diagnostics,STORE
Date: 2025-03-25,DATE
Total: $306.88,TOTAL
prescription medicine #6129 $306.88,ITEM
Thank you for your purchase!,O
Receipt #: 25278,O
Unknown Vendor,STORE
Date: 2025-04-15,DATE
Total: $680.95,TOTAL
other payment service $680.95,ITEM
Thank you for your purchase!,O
Receipt #: 25865,O
CVS,STORE
Date: 2025-04-02,DATE
Total: $294.16,TOTAL
health $294.16,ITEM
Thank you for your purchase!,O
Receipt #: 41808,O
Walmart,STORE
Date: 2025-04-13,DATE
Total: $185.53,TOTAL
bread #8740 $185.53,ITEM
Thank you for your purchase!,O
Receipt #: 60906,O
Safeway,STORE
Date: 2025-03-26,DATE
Total: $139.38,TOTAL
bread $139.38,ITEM
Thank you for your purchase!,O
Receipt #: 12676,O
Walgreens,STORE
Date: 2025-04-02,DATE
Total: $486.14,TOTAL
doctor medicine $486.14,ITEM
Thank you for your purchase!,O
Receipt #: 79296,O
Miscellaneous,STORE
Date: 2025-04-09,DATE
Total: $986.37,TOTAL
payment service general $986.37,ITEM
Thank you for your purchase!,O
Receipt #: 96216,O
Water Service,STORE
Date: 2025-03-26,DATE
Total: $598.63,TOTAL
bill payment monthly $598.63,ITEM
Thank you for your purchase!,O
Receipt #: 89569,O
CVS,STORE
Date: 2025-03-25,DATE
Total: $321.84,TOTAL
health doctor $321.84,ITEM
Thank you for your purchase!,O
Receipt #: 87950,O
Pizza Hut,STORE
Date: 2025-04-11,DATE
Total: $424.10,TOTAL
restaurant #5187 $424.10,ITEM
Thank you for your purchase!,O
Receipt #: 97347,O
H&M,STORE
Date: 2025-04-19,DATE
Total: $208.86,TOTAL
purchase shoes $208.86,ITEM
Thank you for your purchase!,O
Receipt #: 81502,O
Xbox,STORE
Date: 2025-03-28,DATE
Total: $47.59,TOTAL
movie $47.59,ITEM
Thank you for your purchase!,O
Receipt #: 29438,O
Miscellaneous,STORE
Date: 2025-04-07,DATE
Total: $940.97,TOTAL
general other $940.97,ITEM
Thank you for your purchase!,O
Receipt #: 37770,O
Local Restaurant,STORE
Date: 2025-04-06,DATE
Total: $389.79,TOTAL
restaurant $389.79,ITEM
Thank you for your purchase!,O
Receipt #: 13837,O
AT&T,STORE
Date: 2025-04-16,DATE
Total: $112.67,TOTAL
monthly utility payment $112.67,ITEM
Thank you for your purchase!,O
Receipt #: 84857,O
Quest Diagnostics,STORE
Date: 2025-04-16,DATE
Total: $302.71,TOTAL
prescription $302.71,ITEM
Thank you for your purchase!,O
Receipt #: 34717,O
McDonalds,STORE
Date: 2025-04-07,DATE
Total: $16.14,TOTAL
restaurant $16.14,ITEM
Thank you for your purchase!,O
Receipt #: 10927,O
Pizza Hut,STORE
Date: 2025-04-10,DATE
Total: $550.12,TOTAL
restaurant dinner $550.12,ITEM
Thank you for your purchase!,O
Receipt #: 88171,O
BP,STORE
Date: 2025-03-23,DATE
Total: $51.52,TOTAL
gas transit taxi $51.52,ITEM
Thank you for your purchase!,O
Receipt #: 32022,O
Metro,STORE
Date: 2025-04-06,DATE
Total: $56.39,TOTAL
gas transportation $56.39,ITEM
Thank you for your purchase!,O
Receipt #: 43132,O
Quest Diagnostics,STORE
Date: 2025-04-08,DATE
Total: $430.81,TOTAL
health doctor $430.81,ITEM
Thank you for your purchase!,O
Receipt #: 24317,O
Walmart,STORE
Date: 2025-04-03,DATE
Total: $37.90,TOTAL
groceries dairy produce $37.90,ITEM
Thank you for your purchase!,O
Receipt #: 67058,O
Steam,STORE
Date: 2025-04-09,DATE
Total: $11.79,TOTAL
streaming movie game #8527 $11.79,ITEM
Thank you for your purchase!,O
Receipt #: 42393,O
Safeway,STORE
Date: 2025-04-16,DATE
Total: $39.42,TOTAL
food #9535 $39.42,ITEM
Thank you for your purchase!,O
Receipt #: 13918,O
Amazon,STORE
Date: 2025-03-25,DATE
Total: $148.12,TOTAL
electronics $148.12,ITEM
Thank you for your purchase!,O
Receipt #: 55961,O
Water Service,STORE
Date: 2025-04-09,DATE
Total: $791.09,TOTAL
utility $791.09,ITEM
Thank you for your purchase!,O
Receipt #: 21581,O
AT&T,STORE
Date: 2025-04-10,DATE
Total: $282.35,TOTAL
utility service #2059 $282.35,ITEM
Thank you for your purchase!,O
Receipt #: 50407,O
Walgreens,STORE
Date: 2025-04-16,DATE
Total: $48.09,TOTAL
health doctor prescription #8053 $48.09,ITEM
Thank you for your purchase!,O
Receipt #: 31757,O
Lyft,STORE
Date: 2025-04-10,DATE
Total: $74.01,TOTAL
fuel $74.01,ITEM
Thank you for your purchase!,O
Receipt #: 71339,O
Verizon,STORE
Date: 2025-04-18,DATE
Total: $719.42,TOTAL
utility $719.42,ITEM
Thank you for your purchase!,O
Receipt #: 84949,O
Xbox,STORE
Date: 2025-03-24,DATE
Total: $30.16,TOTAL
entertainment game $30.16,ITEM
Thank you for your purchase!,O
Receipt #: 51774,O
Unknown Vendor,STORE
Date: 2025-03-30,DATE
Total: $221.80,TOTAL
general other $221.80,ITEM
Thank you for your purchase!,O
Receipt #: 16004,O
Xbox,STORE
Date: 2025-04-08,DATE
Total: $45.25,TOTAL
game $45.25,ITEM
Thank you for your purchase!,O
Receipt #: 25199,O
CVS,STORE
Date: 2025-03-23,DATE
Total: $20.45,TOTAL
medical $20.45,ITEM
Thank you for your purchase!,O
Receipt #: 86306,O
Steam,STORE
Date: 2025-03-28,DATE
Total: $27.67,TOTAL
movie entertainment music $27.67,ITEM
Thank you for your purchase!,O
Receipt #: 36403,O
CVS,STORE
Date: 2025-03-29,DATE
Total: $288.03,TOTAL
medical $288.03,ITEM
Thank you for your purchase!,O
Receipt #: 30246,O
McDonalds,STORE
Date: 2025-04-09,DATE
Total: $191.11,TOTAL
dinner meal #7236 $191.11,ITEM
Thank you for your purchase!,O
Receipt #: 67145,O
Walgreens,STORE
Date: 2025-04-04,DATE
Total: $152.99,TOTAL
health doctor medicine $152.99,ITEM
Thank you for your purchase!,O
Receipt #: 97478,O
Local Restaurant,STORE
Date: 2025-04-09,DATE
Total: $116.71,TOTAL
delivery $116.71,ITEM
Thank you for your purchase!,O
Receipt #: 98338,O
H&M,STORE
Date: 2025-03-28,DATE
Total: $258.14,TOTAL
purchase #1890 $258.14,ITEM
Thank you for your purchase!,O
Receipt #: 57773,O
Shell,STORE
Date: 2025-03-30,DATE
Total: $16.96,TOTAL
transportation taxi transit $16.96,ITEM
Thank you for your purchase!,O
Receipt #: 66355,O
Local Restaurant,STORE
Date: 2025-03-30,DATE
Total: $180.87,TOTAL
takeout $180.87,ITEM
Thank you for your purchase!,O
Receipt #: 48526,O
Various Services,STORE
Date: 2025-04-09,DATE
Total: $510.53,TOTAL
misc payment #2401 $510.53,ITEM
Thank you for your purchase!,O
Receipt #: 39789,O
Unknown Vendor,STORE
Date: 2025-04-03,DATE
Total: $699.82,TOTAL
payment general $699.82,ITEM
Thank you for your purchase!,O
Receipt #: 23260,O
Electric Company,STORE
Date: 2025-04-18,DATE
Total: $968.26,TOTAL
service utility $968.26,ITEM
Thank you for your purchase!,O
Receipt #: 60212,O
Kroger,STORE
Date: 2025-04-16,DATE
Total: $118.34,TOTAL
bread food meat $118.34,ITEM
Thank you for your purchase!,O
Receipt #: 36755,O
Trader Joes,STORE
Date: 2025-04-07,DATE
Total: $146.48,TOTAL
groceries $146.48,ITEM
Thank you for your purchase!,O
Receipt #: 59617,O
Unknown Vendor,STORE
Date: 2025-04-18,DATE
Total: $318.05,TOTAL
general #1658 $318.05,ITEM
Thank you for your purchase!,O
Receipt #: 17279,O
Safeway,STORE
Date: 2025-04-04,DATE
Total: $37.52,TOTAL
food $37.52,ITEM
Thank you for your purchase!,O
Receipt #: 25626,O
Local Clinic,STORE
Date: 2025-03-24,DATE
Total: $229.32,TOTAL
prescription medical #7208 $229.32,ITEM
Thank you for your purchase!,O
Receipt #: 50941,O
BP,STORE
Date: 2025-03-27,DATE
Total: $5.07,TOTAL
transportation $5.07,ITEM
Thank you for your purchase!,O
Receipt #: 46628,O
Quest Diagnostics,STORE
Date: 2025-04-20,DATE
Total: $176.63,TOTAL
medicine doctor health $176.63,ITEM
Thank you for your purchase!,O
Receipt #: 42403,O
Local Clinic,STORE
Date: 2025-04-16,DATE
Total: $269.12,TOTAL
medicine health $269.12,ITEM
Thank you for your purchase!,O
Receipt #: 64168,O
Subway,STORE
Date: 2025-04-21,DATE
Total: $661.95,TOTAL
dinner delivery takeout $661.95,ITEM
Thank you for your purchase!,O
Receipt #: 19484,O
Electric Company,STORE
Date: 2025-04-21,DATE
Total: $521.18,TOTAL
payment $521.18,ITEM
Thank you for your purchase!,O
Receipt #: 58724,O
Water Service,STORE
Date: 2025-04-20,DATE
Total: $660.06,TOTAL
bill service monthly $660.06,ITEM
Thank you for your purchase!,O
Receipt #: 31711,O
Unknown Vendor,STORE
Date: 2025-04-09,DATE
Total: $170.42,TOTAL
payment $170.42,ITEM
Thank you for your purchase!,O
Receipt #: 32552,O
Shell,STORE
Date: 2025-03-27,DATE
Total: $78.30,TOTAL
transportation taxi transit $78.30,ITEM
Thank you for your purchase!,O
Receipt #: 71094,O
Pizza Hut,STORE
Date: 2025-04-19,DATE
Total: $328.87,TOTAL
lunch dinner delivery $328.87,ITEM
Thank you for your purchase!,O
Receipt #: 19110,O
Unknown Vendor,STORE
Date: 2025-04-05,DATE
Total: $35.72,TOTAL
general $35.72,ITEM
Thank you for your purchase!,O
Receipt #: 16061,O
Xbox,STORE
Date: 2025-04-14,DATE
